name,pc1,pc2,pc3
Kevin Durant,70.6834829,4.916352165,1.993639652
Draymond Green,-5.666406614,-4.503617373,-4.916154544
Shaun Livingston,-4.726139498,-7.225589568,-2.322003141
Andre Iguodala,26.9130678,0.015701713,-9.254245098
Klay Thompson,6.71272445,-5.07880602,2.553171945
Stephen Curry,48.49880413,-13.38862911,-5.967215629
David Lee,32.45581656,13.2632332,2.436476592
Dewayne Dedmon,-18.59401336,15.81414599,-0.003314976
Manu Ginobili,44.59345392,-2.490506704,-10.51647065
Pau Gasol,68.70063495,15.89721331,-2.651246532
LaMarcus Aldridge,39.07724822,11.34102416,11.03278317
Danny Green,-7.272463784,-0.118276907,-11.07588235
Kawhi Leonard,11.24441502,5.385240959,-0.197751403
Kyle Anderson,-19.743194,-1.373832886,-5.393703408
Patty Mills,-5.434335019,-9.766987882,-5.874717037
Tony Parker,53.08635038,-7.471278577,-1.798937877
Joe Johnson,41.59456333,-0.631653234,-6.15840307
Jeff Withey,-15.64227769,13.96149568,-2.630230956
Joe Ingles,-19.25397758,-7.060469989,-13.65491652
Rodney Hood,-7.237893778,-6.656264162,-0.893690761
Alec Burks,-6.986609287,-4.411891862,6.351458774
Gordon Hayward,11.58085045,-5.438209298,0.378350302
Derrick Favors,1.707072872,9.929342022,10.87427915
Boris Diaw,6.218310764,-2.019159539,-5.441618967
George Hill,14.43477454,-1.137597738,-9.616857404
Rudy Gobert,-9.362458865,14.67646528,0.910717973
Shelvin Mack,-12.0851885,-17.89331637,-2.639755109
Maurice Harkless,-16.60329389,5.473381726,-2.127027638
Festus Ezeli,-18.52735053,13.92123709,1.177210333
Meyers Leonard,-14.08095467,4.735382537,-5.838767894
Allen Crabbe,-13.9873899,1.764202996,-9.287825143
Evan Turner,-14.34017845,-12.80474274,7.898825539
Ed Davis,-0.304465527,16.90984539,-1.424146424
Al-Farouq Aminu,-16.22734188,3.305351258,-1.372363328
Noah Vonleh,-22.990777,7.923847598,-2.111533375
Shabazz Napier,-19.74699963,-15.09570749,-8.723419373
C.J. McCollum,-4.671552178,-10.91169603,5.928206162
Damian Lillard,24.83673961,-16.06196474,2.724183442
Mason Plumlee,-5.616156773,7.969349164,4.273545477
Enes Kanter,-0.010331378,12.69577962,13.042758
Kyle Singler,-14.38202184,5.333406726,-7.848420726
Jerami Grant,-19.48311615,-1.678588752,0.975005226
